,,,,,,
,(In ₹ Crores),,,,,
,,, Budget Estimates2026-2027 ,,,
,,,Revenue,Capital,Total,Page No
,The President Parliament Union Public Service Commission and the Secretariat  of the Vice President,,2015.07,68.76,2083.83,
,80. ,Staff Household and Allowances of the President,133.1,4.1,137.2,272-272   
,81. ,Lok Sabha,978.17,30.83,1009,273-273   
,82. ,Rajya Sabha,471.32,11.67,482.99,274-275   
,83. ,Secretariat of the Vice-President,11.39,0.31,11.7,276-276   
,84. ,Union Public Service Commission,421.09,21.85,442.94,277-277   
,Ministry of Railways,,3547.32,277830,281377.32,
,85. ,Ministry of Railways,3547.32,277830,281377.32,278-283   
,Ministry of Road Transport and Highways,,15707.85,294167.45,309875.3,
,86. ,Ministry of Road Transport and Highways,15707.85,294167.45,309875.3,284-287   
,Ministry of Rural Development,,197017.51,5.63,197023.14,
,87. ,Department of Rural Development,194364.18,4.63,194368.81,288-292   
,88. ,Department of Land Resources,2653.33,1,2654.33,293-294   
,Ministry of Science and Technology,,18170.23,20090.71,38260.94,
,89. ,Department of Science and Technology,7963.94,20085.38,28049.32,295-297   
,90. ,Department of Biotechnology,3446,0,3446,298-299   
,91. ,Department of Scientific and Industrial Research,6760.29,5.33,6765.62,300-301   
,Ministry of Skill Development and Entrepreneurship,,9759.51,126.29,9885.8,
,92. ,Ministry of Skill Development and Entrepreneurship,9759.51,126.29,9885.8,302-304   
,Ministry of Social Justice and Empowerment,,15346.37,10.94,15357.31,
,93. ,Department of Social Justice and Empowerment,13678.02,9.57,13687.59,305-311   
,94. ,Department of Empowerment of Persons with Disabilities,1668.35,1.37,1669.72,312-314   
,Department of Space,,7329.71,6375.92,13705.63,
,95. ,Department of Space,7329.71,6375.92,13705.63,315-317   
,Ministry of Statistics and Programme Implementation,,5457.75,45.14,5502.89,
,96. ,Ministry of Statistics and Programme Implementation,5457.75,45.14,5502.89,318-319   
,Ministry of Steel,,439.84,3.34,443.18,
,97. ,Ministry of Steel,439.84,3.34,443.18,320-321   
,Ministry of Textiles,,5269.52,9.49,5279.01,
,98. ,Ministry of Textiles,5269.52,9.49,5279.01,322-326   
,Ministry of Tourism,,2433.87,4.53,2438.4,
,99. ,Ministry of Tourism,2433.87,4.53,2438.4,327-329   
,Ministry of Tribal Affairs,,15389.54,32.43,15421.97,
,100. ,Ministry of Tribal Affairs,15389.54,32.43,15421.97,330-333   
,Ministry of Women and Child Development,,28177.42,5.64,28183.06,
,101. ,Ministry of Women and Child Development,28177.42,5.64,28183.06,334-337   
,Ministry of Youth Affairs and Sports,,4461.51,18.37,4479.88,
,102. ,Ministry of Youth Affairs and Sports,4461.51,18.37,4479.88,338-341
